ISO3,Code,Description,Region,NumberType,IsGeographic
USA,201,"New Jersey - Jersey City, Hackensack",New Jersey,geographic,true
USA,202,District of Columbia - Washington,District of Columbia,geographic,true
USA,203,"Connecticut - Bridgeport, New Haven",Connecticut,geographic,true
USA,205,Alabama - Birmingham,Alabama,geographic,true
USA,206,Washington - Seattle,Washington,geographic,true
USA,207,Maine,Maine,geographic,true
USA,208,Idaho,Idaho,geographic,true
USA,209,"California - Stockton, Modesto",California,geographic,true
USA,210,Texas - San Antonio,Texas,geographic,true
USA,212,New York - Manhattan,New York,geographic,true
USA,213,California - Los Angeles,California,geographic,true
USA,214,Texas - Dallas,Texas,geographic,true
USA,215,Pennsylvania - Philadelphia,Pennsylvania,geographic,true
USA,216,Ohio - Cleveland,Ohio,geographic,true
USA,217,Illinois - Springfield,Illinois,geographic,true
USA,218,Minnesota - Duluth,Minnesota,geographic,true
USA,219,"Indiana - Gary, Hammond",Indiana,geographic,true
USA,220,"Ohio - Newark, Zanesville",Ohio,geographic,true
USA,223,Pennsylvania - Lancaster,Pennsylvania,geographic,true
USA,224,"Illinois - Arlington Heights, Evanston",Illinois,geographic,true
USA,225,Louisiana - Baton Rouge,Louisiana,geographic,true
USA,228,"Mississippi - Gulfport, Biloxi",Mississippi,geographic,true
USA,229,Georgia - Albany,Georgia,geographic,true
USA,231,"Michigan - Muskegon, Traverse City",Michigan,geographic,true
USA,234,"Ohio - Akron, Canton, Youngstown",Ohio,geographic,true
USA,239,"Florida - Fort Myers, Naples",Florida,geographic,true
USA,240,"Maryland - Bethesda, Silver Spring",Maryland,geographic,true
USA,248,"Michigan - Troy, Pontiac",Michigan,geographic,true
USA,251,Alabama - Mobile,Alabama,geographic,true
USA,252,"North Carolina - Greenville, Rocky Mount",North Carolina,geographic,true
USA,253,Washington - Tacoma,Washington,geographic,true
USA,254,"Texas - Waco, Killeen",Texas,geographic,true
USA,256,Alabama - Huntsville,Alabama,geographic,true
USA,260,Indiana - Fort Wayne,Indiana,geographic,true
USA,262,"Wisconsin - Racine, Kenosha",Wisconsin,geographic,true
USA,267,Pennsylvania - Philadelphia,Pennsylvania,geographic,true
USA,269,Michigan - Kalamazoo,Michigan,geographic,true
USA,270,"Kentucky - Bowling Green, Owensboro",Kentucky,geographic,true
USA,272,Pennsylvania - Scranton,Pennsylvania,geographic,true
USA,276,Virginia - Bristol,Virginia,geographic,true
USA,279,California - Sacramento,California,geographic,true
USA,281,Texas - Houston,Texas,geographic,true
USA,301,"Maryland - Bethesda, Silver Spring",Maryland,geographic,true
USA,302,Delaware,Delaware,geographic,true
USA,303,"Colorado - Denver, Boulder",Colorado,geographic,true
USA,304,West Virginia,West Virginia,geographic,true
USA,305,Florida - Miami,Florida,geographic,true
USA,307,Wyoming,Wyoming,geographic,true
USA,308,"Nebraska - Grand Island, North Platte",Nebraska,geographic,true
USA,309,Illinois - Peoria,Illinois,geographic,true
USA,310,"California - Beverly Hills, Malibu",California,geographic,true
USA,312,Illinois - Chicago (Downtown),Illinois,geographic,true
USA,313,Michigan - Detroit,Michigan,geographic,true
USA,314,Missouri - St. Louis,Missouri,geographic,true
USA,315,New York - Syracuse,New York,geographic,true
USA,316,Kansas - Wichita,Kansas,geographic,true
USA,317,Indiana - Indianapolis,Indiana,geographic,true
USA,318,Louisiana - Shreveport,Louisiana,geographic,true
USA,319,Iowa - Cedar Rapids,Iowa,geographic,true
USA,320,Minnesota - St. Cloud,Minnesota,geographic,true
USA,321,"Florida - Orlando, Cape Canaveral",Florida,geographic,true
USA,323,California - Los Angeles,California,geographic,true
USA,325,"Texas - Abilene, San Angelo",Texas,geographic,true
USA,330,"Ohio - Akron, Youngstown",Ohio,geographic,true
USA,331,"Illinois - Aurora, Naperville",Illinois,geographic,true
USA,332,New York - New York City,New York,geographic,true
USA,334,Alabama - Montgomery,Alabama,geographic,true
USA,336,"North Carolina - Greensboro, Winston-Salem",North Carolina,geographic,true
USA,337,"Louisiana - Lafayette, Lake Charles",Louisiana,geographic,true
USA,339,"Massachusetts - Lynn, Framingham",Massachusetts,geographic,true
USA,340,US Virgin Islands,US Virgin Islands,geographic,true
USA,346,Texas - Houston,Texas,geographic,true
USA,347,"New York - Brooklyn, Queens, Bronx, Staten Island",New York,geographic,true
USA,351,"Massachusetts - Lowell, Lawrence",Massachusetts,geographic,true
USA,352,"Florida - Gainesville, Ocala",Florida,geographic,true
USA,360,"Washington - Olympia, Bellingham",Washington,geographic,true
USA,361,Texas - Corpus Christi,Texas,geographic,true
USA,364,"Kentucky - Owensboro, Bowling Green",Kentucky,geographic,true
USA,380,Ohio - Columbus,Ohio,geographic,true
USA,385,Utah - Salt Lake City,Utah,geographic,true
USA,386,Florida - Daytona Beach,Florida,geographic,true
USA,401,Rhode Island,Rhode Island,geographic,true
USA,402,"Nebraska - Omaha, Lincoln",Nebraska,geographic,true
USA,404,Georgia - Atlanta,Georgia,geographic,true
USA,405,Oklahoma - Oklahoma City,Oklahoma,geographic,true
USA,406,Montana,Montana,geographic,true
USA,407,Florida - Orlando,Florida,geographic,true
USA,408,California - San Jose,California,geographic,true
USA,409,"Texas - Beaumont, Galveston",Texas,geographic,true
USA,410,Maryland - Baltimore,Maryland,geographic,true
USA,412,Pennsylvania - Pittsburgh,Pennsylvania,geographic,true
USA,413,Massachusetts - Springfield,Massachusetts,geographic,true
USA,414,Wisconsin - Milwaukee,Wisconsin,geographic,true
USA,415,California - San Francisco,California,geographic,true
USA,417,"Missouri - Springfield, Joplin",Missouri,geographic,true
USA,419,Ohio - Toledo,Ohio,geographic,true
USA,423,Tennessee - Chattanooga,Tennessee,geographic,true
USA,424,"California - Beverly Hills, Malibu",California,geographic,true
USA,425,"Washington - Bellevue, Redmond",Washington,geographic,true
USA,430,"Texas - Tyler, Longview",Texas,geographic,true
USA,432,"Texas - Midland, Odessa",Texas,geographic,true
USA,434,"Virginia - Charlottesville, Lynchburg",Virginia,geographic,true
USA,435,"Utah - St. George, Logan",Utah,geographic,true
USA,440,"Ohio - Lorain, Elyria",Ohio,geographic,true
USA,442,"California - Oceanside, Palm Springs",California,geographic,true
USA,443,Maryland - Baltimore,Maryland,geographic,true
USA,458,Oregon - Eugene,Oregon,geographic,true
USA,463,Indiana - Indianapolis,Indiana,geographic,true
USA,469,Texas - Dallas,Texas,geographic,true
USA,470,Georgia - Atlanta,Georgia,geographic,true
USA,475,"Connecticut - Bridgeport, New Haven",Connecticut,geographic,true
USA,478,Georgia - Macon,Georgia,geographic,true
USA,479,"Arkansas - Fort Smith, Fayetteville",Arkansas,geographic,true
USA,480,"Arizona - Mesa, Tempe, Scottsdale",Arizona,geographic,true
USA,484,"Pennsylvania - Allentown, Reading",Pennsylvania,geographic,true
