ISO3,DialingPlan,Min,Max,TrunkPrefix,Format
ALB,Variable,8,9,0,+355 XX XXX XXXX
AND,Fixed,6,9,None,+376 XXX XXX
AUT,Variable,4,13,0,+43 X XXXX XXXX
BLR,Variable,9,10,80,+375 XX XXX XX XX
BEL,Variable,8,9,0,+32 X XXX XX XX
BIH,Variable,8,8,0,+387 XX XXX XXX
BGR,Variable,7,9,0,+359 XX XXX XXX
HRV,Variable,8,9,0,+385 XX XXX XXXX
CYP,Fixed,8,8,None,+357 XX XXX XXX
CZE,Fixed,9,9,None,+420 XXX XXX XXX
DNK,Fixed,8,8,None,+45 XX XX XX XX
EST,Fixed,7,8,None,+372 XXX XXXX
FIN,Variable,5,12,0,+358 X XXX XXXX
FRA,Fixed,9,9,0,+33 X XX XX XX XX
DEU,Variable,3,12,0,+49 XXX XXX XXXX
GRC,Fixed,10,10,None,+30 XXX XXX XXXX
HUN,Fixed,8,9,06,+36 XX XXX XXXX
ISL,Fixed,7,7,None,+354 XXX XXXX
IRL,Variable,7,9,0,+353 X XXX XXXX
ITA,Fixed,6,11,None,+39 XX XXXX XXXX
XKX,Fixed,8,8,0,+383 XX XXX XXX
LVA,Fixed,8,8,None,+371 XXXX XXXX
LIE,Fixed,7,7,None,+423 XXX XX XX
LTU,Fixed,8,8,8,+370 XXX XXXXX
LUX,Fixed,4,12,None,+352 XXX XXX XXX
MLT,Fixed,8,8,None,+356 XXXX XXXX
MDA,Fixed,8,8,0,+373 XX XXX XXX
MCO,Fixed,8,8,None,+377 XX XX XX XX
MNE,Variable,8,8,0,+382 XX XXX XXX
NLD,Fixed,9,9,0,+31 X XXXX XXXX
MKD,Variable,8,8,0,+389 XX XXX XXX
NOR,Fixed,8,8,None,+47 XXX XX XXX
POL,Fixed,9,9,None,+48 XXX XXX XXX
PRT,Fixed,9,9,None,+351 XXX XXX XXX
ROU,Fixed,9,9,0,+40 XXX XXX XXX
RUS,Fixed,10,10,8,+7 XXX XXX XX XX
SMR,Fixed,6,10,None,+378 XXXX XXXXXX
SRB,Variable,8,9,0,+381 XX XXX XXXX
SVK,Fixed,9,9,0,+421 XXX XXX XXX
SVN,Variable,8,8,0,+386 X XXX XX XX
ESP,Fixed,9,9,None,+34 XXX XXX XXX
SWE,Variable,7,13,0,+46 XX XXX XXXX
CHE,Fixed,9,9,0,+41 XX XXX XX XX
TUR,Fixed,10,10,0,+90 XXX XXX XX XX
UKR,Fixed,9,9,0,+380 XX XXX XX XX
GBR,Variable,7,10,0,+44 XXXX XXX XXXX
VAT,Fixed,6,10,None,+379 XXXXXX
GEO,Fixed,9,9,0,+995 XXX XXX XXX
ARM,Fixed,8,8,0,+374 XX XXX XXX
AZE,Fixed,9,9,0,+994 XX XXX XX XX
FRO,Fixed,6,6,None,+298 XXX XXX
GIB,Fixed,8,8,None,+350 XXXX XXXX
GGY,Variable,7,10,0,+44 1481 XXX XXX
IMN,Variable,7,10,0,+44 1624 XXX XXX
JEY,Variable,7,10,0,+44 1534 XXX XXX
SJM,Fixed,8,8,None,+47 79 XX XX XX
ALA,Variable,5,12,0,+358 18 XXXXX
GRL,Fixed,6,6,None,+299 XXX XXX
USA,Fixed,10,10,1,+1 (XXX) XXX-XXXX
CAN,Fixed,10,10,1,+1 XXX XXX XXXX
MEX,Fixed,10,10,None,+52 XXX XXX XXXX
BMU,Fixed,10,10,1,+1 441 XXX XXXX
SPM,Fixed,6,6,None,+508 XX XX XX
ATG,Fixed,10,10,1,+1 268 XXX XXXX
BHS,Fixed,10,10,1,+1 242 XXX XXXX
BRB,Fixed,10,10,1,+1 246 XXX XXXX
BES,Fixed,7,7,None,+599 XXX XXXX
VGB,Fixed,10,10,1,+1 284 XXX XXXX
CYM,Fixed,10,10,1,+1 345 XXX XXXX
CUB,Variable,8,8,0,+53 X XXX XXXX
CUW,Fixed,7,8,None,+599 9XXX XXXX
DMA,Fixed,10,10,1,+1 767 XXX XXXX
DOM,Fixed,10,10,1,+1 809 XXX XXXX
GRD,Fixed,10,10,1,+1 473 XXX XXXX
GLP,Fixed,9,9,0,+590 XXX XX XX XX
HTI,Fixed,8,8,None,+509 XXXX XXXX
JAM,Fixed,10,10,1,+1 876 XXX XXXX
MTQ,Fixed,9,9,0,+596 XXX XX XX XX
MSR,Fixed,10,10,1,+1 664 XXX XXXX
ABW,Fixed,7,7,None,+297 XXX XXXX
ANT,Fixed,7,8,None,+599 XXX XXXX
PRI,Fixed,10,10,1,+1 787 XXX XXXX
BLM,Fixed,9,9,0,+590 XXX XX XX XX
KNA,Fixed,10,10,1,+1 869 XXX XXXX
LCA,Fixed,10,10,1,+1 758 XXX XXXX
MAF,Fixed,9,9,0,+590 XXX XX XX XX
SXM,Fixed,10,10,1,+1 721 XXX XXXX
VCT,Fixed,10,10,1,+1 784 XXX XXXX
TTO,Fixed,10,10,1,+1 868 XXX XXXX
TCA,Fixed,10,10,1,+1 649 XXX XXXX
VIR,Fixed,10,10,1,+1 340 XXX XXXX
AIA,Fixed,10,10,1,+1 264 XXX XXXX
BLZ,Fixed,7,7,None,+501 XXX XXXX
CRI,Fixed,8,8,None,+506 XXXX XXXX
SLV,Fixed,8,8,None,+503 XXXX XXXX
GTM,Fixed,8,8,None,+502 XXXX XXXX
HND,Fixed,8,8,None,+504 XXXX XXXX
NIC,Fixed,8,8,None,+505 XXXX XXXX
PAN,Fixed,7,8,None,+507 XXX XXXX
ARG,Variable,10,10,0,+54 XX XXXX XXXX
BOL,Variable,8,8,0,+591 X XXX XXXX
BRA,Variable,10,11,0,+55 XX XXXXX XXXX
CHL,Fixed,9,9,None,+56 X XXXX XXXX
COL,Fixed,10,10,None,+57 XXX XXX XXXX
ECU,Variable,8,9,0,+593 XX XXX XXXX
FLK,Fixed,5,5,None,+500 XXXXX
GUF,Fixed,9,9,0,+594 XXX XX XX XX
GUY,Fixed,7,7,None,+592 XXX XXXX
PRY,Variable,9,9,0,+595 XXX XXX XXX
PER,Fixed,9,9,0,+51 XXX XXX XXX
SUR,Fixed,6,7,None,+597 XXX XXXX
URY,Variable,8,8,0,+598 X XXX XXXX
VEN,Variable,10,10,0,+58 XXX XXX XXXX
DZA,Variable,8,9,0,+213 XXX XX XX XX
AGO,Fixed,9,9,None,+244 XXX XXX XXX
BEN,Fixed,8,8,None,+229 XXXX XXXX
BWA,Fixed,7,8,None,+267 XXX XXXX
BFA,Fixed,8,8,None,+226 XXXX XXXX
BDI,Fixed,8,8,None,+257 XXXX XXXX
CPV,Fixed,7,7,None,+238 XXX XXXX
CMR,Fixed,8,9,None,+237 XXXX XXXX
CAF,Fixed,8,8,None,+236 XXXX XXXX
TCD,Fixed,8,8,None,+235 XXXX XXXX
COM,Fixed,7,7,None,+269 XXX XXXX
COG,Fixed,9,9,None,+242 XX XXX XXXX
COD,Variable,9,9,0,+243 XXX XXX XXX
CIV,Fixed,10,10,None,+225 XX XX XXX XXX
DJI,Fixed,8,8,None,+253 XX XX XX XX
EGY,Variable,10,10,0,+20 XX XXXX XXXX
GNQ,Fixed,9,9,None,+240 XXX XXX XXX
ERI,Variable,7,7,0,+291 X XXX XXX
SWZ,Fixed,7,8,None,+268 XXXX XXXX
ETH,Variable,9,9,0,+251 XX XXX XXXX
GAB,Fixed,7,8,None,+241 X XX XX XX
GMB,Fixed,7,7,None,+220 XXX XXXX
GHA,Variable,9,9,0,+233 XX XXX XXXX
GIN,Fixed,8,9,None,+224 XXX XX XX XX
GNB,Fixed,7,7,None,+245 XXX XXXX
KEN,Variable,9,9,0,+254 XXX XXX XXX
LSO,Fixed,8,8,None,+266 XXXX XXXX
LBR,Fixed,7,8,None,+231 XXX XXX XXX
LBY,Variable,8,9,0,+218 XX XXX XXXX
MDG,Variable,9,9,0,+261 XX XX XXX XX
MWI,Variable,7,9,0,+265 X XXX XXXX
MLI,Fixed,8,8,None,+223 XXXX XXXX
MRT,Fixed,8,8,None,+222 XXXX XXXX
MUS,Fixed,7,8,None,+230 XXXX XXXX
MYT,Fixed,9,9,0,+262 XXX XX XX XX
MAR,Variable,9,9,0,+212 XXX XX XX XX
MOZ,Variable,8,9,None,+258 XX XXX XXXX
NAM,Variable,8,10,0,+264 XX XXX XXXX
NER,Fixed,8,8,None,+227 XXXX XXXX
NGA,Variable,7,8,0,+234 XXX XXX XXXX
REU,Fixed,9,9,0,+262 XXX XX XX XX
RWA,Fixed,9,9,0,+250 XXX XXX XXX
STP,Fixed,7,7,None,+239 XXX XXXX
SEN,Fixed,9,9,None,+221 XX XXX XXXX
SYC,Fixed,7,7,None,+248 X XXX XXX
SLE,Variable,8,8,0,+232 XX XXX XXX
SOM,Variable,7,8,None,+252 XX XXX XXX
ZAF,Fixed,9,9,0,+27 XX XXX XXXX
SSD,Variable,9,9,0,+211 XX XXX XXXX
SDN,Variable,9,9,0,+249 XX XXX XXXX
TZA,Variable,9,9,0,+255 XXX XXX XXX
TGO,Fixed,8,8,None,+228 XXXX XXXX
TUN,Fixed,8,8,None,+216 XXXX XXXX
